interval,time_of_day,operational_demand_mw,solar_capacity_factor,wind_capacity_factor,vni_import_limit_mw,qni_import_limit_mw
1,00:30,6850.0,0.000,0.380,600.0,350.0
2,01:00,6520.0,0.000,0.390,600.0,350.0
3,01:30,6290.0,0.000,0.410,600.0,350.0
4,02:00,6120.0,0.000,0.420,600.0,350.0
5,02:30,6010.0,0.000,0.410,600.0,350.0
6,03:00,5950.0,0.000,0.400,600.0,350.0
7,03:30,5980.0,0.000,0.380,600.0,350.0
8,04:00,6090.0,0.000,0.350,600.0,350.0
9,04:30,6280.0,0.000,0.340,600.0,350.0
10,05:00,6600.0,0.000,0.320,600.0,350.0
11,05:30,7050.0,0.000,0.300,600.0,350.0
12,06:00,7580.0,0.010,0.280,600.0,350.0
13,06:30,8120.0,0.080,0.270,600.0,350.0
14,07:00,8540.0,0.220,0.260,600.0,350.0
15,07:30,8750.0,0.390,0.250,600.0,350.0
16,08:00,8620.0,0.560,0.240,600.0,350.0
17,08:30,8210.0,0.680,0.230,600.0,350.0
18,09:00,7640.0,0.780,0.220,600.0,350.0
19,09:30,7080.0,0.850,0.210,600.0,350.0
20,10:00,6620.0,0.890,0.200,600.0,350.0
21,10:30,6290.0,0.920,0.190,600.0,350.0
22,11:00,6050.0,0.940,0.180,600.0,350.0
23,11:30,5910.0,0.950,0.180,600.0,350.0
24,12:00,5820.0,0.960,0.170,600.0,350.0
25,12:30,5780.0,0.950,0.170,600.0,350.0
26,13:00,5830.0,0.930,0.180,600.0,350.0
27,13:30,5940.0,0.900,0.190,600.0,350.0
28,14:00,6150.0,0.850,0.210,600.0,350.0
29,14:30,6420.0,0.780,0.230,600.0,350.0
30,15:00,6810.0,0.680,0.250,600.0,350.0
31,15:30,7290.0,0.550,0.280,600.0,350.0
32,16:00,7820.0,0.390,0.310,600.0,350.0
33,16:30,8450.0,0.220,0.350,600.0,350.0
34,17:00,9180.0,0.080,0.390,600.0,350.0
35,17:30,9850.0,0.010,0.430,600.0,350.0
36,18:00,10420.0,0.000,0.460,600.0,350.0
37,18:30,10750.0,0.000,0.480,600.0,350.0
38,19:00,10680.0,0.000,0.490,600.0,350.0
39,19:30,10410.0,0.000,0.480,600.0,350.0
40,20:00,10050.0,0.000,0.460,600.0,350.0
41,20:30,9620.0,0.000,0.440,600.0,350.0
42,21:00,9180.0,0.000,0.420,600.0,350.0
43,21:30,8710.0,0.000,0.400,600.0,350.0
44,22:00,8230.0,0.000,0.390,600.0,350.0
45,22:30,7790.0,0.000,0.380,600.0,350.0
46,23:00,7410.0,0.000,0.380,600.0,350.0
47,23:30,7120.0,0.000,0.370,600.0,350.0
48,00:00,6890.0,0.000,0.370,600.0,350.0
