Time,Real_NSW_Demand_MW,Actual_AEMO_Price_AUD,Simulated_Model_Price_AUD
00:00,6971.4,39.29,42.5
00:30,6694.3,36.09,42.5
01:00,6515.7,31.8,42.5
01:30,6402.5,43.42,42.5
02:00,6292.6,36.32,42.5
02:30,6201.4,33.92,42.5
03:00,6211.8,31.97,42.5
03:30,6210.9,41.0,42.5
04:00,6394.3,51.79,42.5
04:30,6603.8,56.38,42.5
05:00,6835.4,61.17,45.8
05:30,7155.5,54.53,45.8
06:00,7425.9,59.48,45.8
06:30,7719.1,49.38,45.8
07:00,7922.5,53.11,45.8
07:30,7956.8,54.24,45.8
08:00,8040.3,51.83,45.8
08:30,7881.4,41.91,42.5
09:00,7859.9,64.34,42.5
09:30,7828.1,71.81,42.5
10:00,7730.1,48.96,42.5
10:30,7628.2,51.94,42.5
11:00,7700.2,80.71,42.5
11:30,7587.2,42.97,42.5
12:00,7471.7,49.18,42.5
12:30,7455.0,48.36,42.5
13:00,7273.5,48.38,42.5
13:30,7336.0,67.45,42.5
14:00,7231.7,61.45,42.5
14:30,7384.9,54.33,42.5
15:00,7612.7,53.93,42.5
15:30,7823.1,49.94,45.8
16:00,8000.7,42.62,45.8
16:30,8234.6,47.67,45.8
17:00,8170.3,36.65,45.8
17:30,8219.8,47.91,45.8
18:00,8181.4,66.23,45.8
18:30,8144.3,125.1,45.8
19:00,8087.5,123.53,45.8
19:30,8066.5,98.33,45.8
20:00,7908.6,95.55,45.8
20:30,7722.2,90.42,45.8
21:00,7582.6,85.56,45.8
21:30,7598.1,89.85,45.8
22:00,7402.1,70.67,45.8
22:30,7315.1,62.21,45.8
23:00,7164.8,62.23,45.8
23:30,7054.5,65.78,42.5
