Trading_Interval,Actual_NSW_Demand_MW,Actual_Renewables_MW,Actual_AEMO_Price_AUD,Simulated_Model_Price_AUD
00:00,7669.7,1296.3,97.65,45.8
00:30,7510.6,1324.0,93.45,45.8
01:00,7312.5,1333.4,100.91,42.5
01:30,7166.0,1290.1,110.4,42.5
02:00,7006.3,1218.9,104.28,42.5
02:30,6922.2,1107.8,89.78,42.5
03:00,6938.1,966.5,90.12,42.5
03:30,6902.9,826.8,97.11,45.8
04:00,7039.1,738.2,104.98,45.8
04:30,7226.5,731.9,109.79,45.8
05:00,7437.6,727.3,129.45,45.8
05:30,7644.6,912.3,117.78,49.1
06:00,7805.5,1422.7,103.32,42.5
06:30,7913.8,2009.3,74.21,44.72
07:00,7864.9,2541.8,67.23,40.28
07:30,7762.2,2808.9,53.55,42.5
08:00,7523.3,2896.0,32.87,42.5
08:30,7244.5,3018.1,66.72,42.5
09:00,7103.0,3255.3,51.42,38.2
09:30,7118.6,3430.8,47.15,38.2
10:00,7154.6,3524.3,48.22,38.2
10:30,7379.3,3759.7,19.32,38.2
11:00,7603.8,3739.1,31.92,38.2
11:30,7738.6,3648.1,38.48,38.2
12:00,7969.0,3407.9,37.44,42.5
12:30,8304.5,3333.4,60.49,42.5
13:00,8658.0,3507.1,37.73,38.2
13:30,9427.5,3473.6,68.73,38.2
14:00,10149.1,2198.8,8813.45,64.3
14:30,10706.8,2143.3,15.09,68.0
15:00,11193.4,2521.5,44.86,68.0
15:30,11234.5,2985.6,37.39,52.36
16:00,11155.5,2607.4,259.28,68.0
16:30,11649.3,2237.4,153.04,115.0
17:00,11386.6,1538.6,198.4,160.0
17:30,11153.7,1345.3,242.31,160.0
18:00,10830.7,1028.5,264.34,160.0
18:30,10612.1,693.9,244.33,160.0
19:00,10117.1,590.6,58.1,160.0
19:30,9296.9,620.0,97.63,115.0
20:00,8955.3,699.5,101.83,72.0
20:30,8472.2,555.1,103.62,68.0
21:00,8242.1,545.3,98.99,68.0
21:30,8063.9,633.2,98.43,68.0
22:00,7869.3,750.5,91.68,45.8
22:30,7652.7,843.5,94.41,45.8
23:00,7462.6,875.1,97.88,45.8
23:30,7295.4,950.1,102.51,45.8
