interval,demand_mw,clearing_price_per_mwh,emissions_tco2,unserved_energy_mw,curtailed_energy_mw
1,6850.0,68.0,1824.2,0.0,0.0
2,6520.0,68.0,1824.2,0.0,0.0
3,6290.0,54.31192307692308,1824.2,0.0,0.0
4,6120.0,54.31192307692309,1824.2,0.0,0.0
5,6010.0,54.31192307692309,1824.2,0.0,0.0
6,5950.0,54.31192307692309,1824.2,0.0,0.0
7,5980.0,54.31192307692308,1824.2,0.0,0.0
8,6090.0,54.31192307692308,1824.2,0.0,0.0
9,6280.0,68.0,1824.2,0.0,0.0
10,6600.0,70.71923076923076,1824.2,0.0,0.0
11,7050.0,70.71923076923076,1824.2,0.0,0.0
12,7580.0,70.71923076923076,1824.2,0.0,0.0
13,8120.0,70.71923076923076,1824.2,0.0,0.0
14,8540.0,70.71923076923076,1824.2,0.0,0.0
15,8750.0,70.71923076923076,1824.2,0.0,0.0
16,8620.0,70.71923076923076,1824.2,0.0,0.0
17,8210.0,68.0,1824.2,0.0,0.0
18,7640.0,45.8,1671.1200000000001,0.0,0.0
19,7080.0,45.8,1470.8700000000001,0.0,0.0
20,6620.0,45.8,1671.1200000000001,0.0,0.0
21,6290.0,45.8,1470.8700000000001,0.0,0.0
22,6050.0,45.8,1671.1200000000001,0.0,0.0
23,5910.0,45.8,1824.2,0.0,0.0
24,5820.0,45.8,1683.1463023614526,0.0,0.0
25,5780.0,45.8,1824.2,0.0,0.0
26,5830.0,45.8,1824.2,0.0,0.0
27,5940.0,45.8,1623.95,0.0,0.0
28,6150.0,45.8,1623.95,0.0,0.0
29,6420.0,45.8,1824.2,0.0,0.0
30,6810.0,45.8,1623.95,0.0,0.0
31,7290.0,45.8,1824.2,0.0,0.0
32,7820.0,68.0,1824.2,0.0,0.0
33,8450.0,70.71923076923076,1824.2,0.0,0.0
34,9180.0,115.0,1824.2,0.0,0.0
35,9850.0,115.0,1824.2,0.0,0.0
36,10420.0,115.0,1824.2,0.0,0.0
37,10750.0,115.0,1824.2,0.0,0.0
38,10680.0,115.0,1824.2,0.0,0.0
39,10410.0,115.0,1824.2,0.0,0.0
40,10050.0,115.0,1847.6586803233815,0.0,0.0
41,9620.0,115.0,1824.2,0.0,0.0
42,9180.0,115.0,1824.2,0.0,0.0
43,8710.0,75.26447368421053,1824.2,0.0,0.0
44,8230.0,72.0,1824.2,0.0,0.0
45,7790.0,70.71923076923076,1824.2,0.0,0.0
46,7410.0,70.71923076923076,1824.2,0.0,0.0
47,7120.0,70.71923076923076,1824.2,0.0,0.0
48,6890.0,70.71923076923076,1824.2,0.0,0.0
