Hour,Price_2024,Price_2025,Price_2026,Demand_2024,Demand_2025,Demand_2026,Renewables_2024,Renewables_2025,Renewables_2026
0,67.61,93.21,65.36,7034.1,6914.0,7008.7,962.6,1116.1,1183.6
1,62.81,91.5,65.32,6611.1,6568.9,6672.7,938.2,1051.8,1110.6
2,61.3,87.43,63.37,6392.0,6379.2,6479.2,907.8,962.3,1059.9
3,59.95,89.99,66.86,6340.3,6330.3,6413.4,889.3,902.5,1002.1
4,66.15,100.34,71.97,6511.8,6485.2,6551.2,881.4,852.6,968.8
5,71.38,107.93,70.07,6834.0,6739.8,6785.7,949.6,926.4,1080.1
6,41.52,44.93,33.16,7057.6,6817.0,6874.9,1774.5,2088.8,2437.6
7,38.91,29.84,23.96,7154.5,6806.0,6764.4,2485.5,3163.4,3623.8
8,45.97,28.19,23.07,7025.3,6521.8,6434.8,2653.7,3346.3,3894.4
9,44.61,16.87,18.35,6868.1,6275.7,6238.5,2740.7,3231.0,3929.3
10,46.26,12.5,18.32,6845.5,6123.4,6155.6,2825.8,3220.0,3902.8
11,49.39,6.06,17.78,6899.6,6087.2,6096.5,2881.2,3285.0,3828.6
12,50.29,15.58,18.25,7092.3,6155.1,6181.1,2860.8,3332.0,3806.4
13,57.64,68.23,28.04,7374.3,6398.8,6465.4,2834.3,3354.0,3785.8
14,55.21,207.27,30.09,7708.0,6871.6,6898.9,2741.4,3186.7,3738.2
15,50.44,49.4,39.74,8232.7,7534.5,7604.4,2613.1,3101.2,3712.9
16,60.79,143.74,54.49,8784.4,8206.3,8413.9,2560.3,2932.2,3649.6
17,79.75,98.74,69.02,9190.6,8683.0,9110.7,2207.9,2414.1,3342.3
18,345.49,182.94,290.02,9233.1,8753.8,9278.5,1364.1,1472.7,2049.3
19,216.91,177.12,267.96,9078.6,8637.2,9124.6,930.5,970.0,1228.7
20,78.37,121.07,79.64,8721.9,8311.2,8746.3,969.7,1029.6,1256.6
21,89.62,113.35,73.43,8328.9,7962.2,8310.8,1006.3,1102.3,1293.5
22,73.34,115.49,69.93,7915.2,7626.8,7877.2,1018.9,1133.4,1265.6
23,75.35,100.93,69.85,7487.6,7263.5,7447.5,991.7,1136.4,1220.6
